IP地址,端口,TLS,数据中心,源IP位置,地区,城市,地区(中文),国家,城市(中文),国旗,网络延迟,下载速度
59.3.3.161,8443,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,76 ms,11327 kB/s
121.178.121.161,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,123 ms,9107 kB/s
222.114.206.19,10352,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,116 ms,9086 kB/s
211.215.133.125,18080,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,71 ms,8937 kB/s
182.211.29.41,20085,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,86 ms,8820 kB/s
58.239.237.226,10379,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,85 ms,8753 kB/s
116.44.53.251,12211,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,107 ms,8616 kB/s
222.112.191.5,33334,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,82 ms,8500 kB/s
211.195.83.140,12194,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,81 ms,8398 kB/s
125.143.29.83,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,82 ms,7975 kB/s
61.83.53.33,30029,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,86 ms,7927 kB/s
116.44.53.251,10801,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,103 ms,7919 kB/s
58.235.104.145,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,88 ms,7823 kB/s
220.92.20.21,30050,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,76 ms,7773 kB/s
220.124.144.20,12142,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,115 ms,7717 kB/s
182.211.29.41,22990,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,82 ms,7626 kB/s
220.125.55.47,12251,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,114 ms,7571 kB/s
112.186.25.177,10062,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,82 ms,7542 kB/s
211.63.181.106,10370,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,128 ms,7407 kB/s
182.224.75.12,10325,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,85 ms,7372 kB/s
106.242.185.158,32784,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,94 ms,7350 kB/s
1.223.156.69,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,95 ms,7332 kB/s
175.113.11.149,10265,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,79 ms,7203 kB/s
115.91.165.115,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,92 ms,7116 kB/s
61.83.8.8,10416,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,130 ms,7097 kB/s
175.213.245.239,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,79 ms,7018 kB/s
221.161.207.216,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,83 ms,6916 kB/s
211.192.254.96,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,81 ms,6793 kB/s
125.135.43.66,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,87 ms,6757 kB/s
106.242.64.238,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,89 ms,6619 kB/s
211.105.156.214,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,80 ms,6522 kB/s
112.185.223.152,50001,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,114 ms,6494 kB/s
112.146.187.55,29765,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,82 ms,6450 kB/s
61.72.176.145,18016,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,78 ms,6412 kB/s
121.175.54.93,30037,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,78 ms,6401 kB/s
124.111.11.3,20067,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,100 ms,6388 kB/s
175.113.29.202,30027,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,81 ms,6280 kB/s
175.120.200.238,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,74 ms,6264 kB/s
175.211.17.201,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,75 ms,6194 kB/s
220.124.39.201,11300,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,125 ms,6193 kB/s
112.165.11.40,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,113 ms,6109 kB/s
175.207.201.57,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,91 ms,6092 kB/s
211.57.29.229,12699,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,139 ms,6080 kB/s
121.132.24.246,50001,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,80 ms,6025 kB/s
59.9.52.28,30009,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,73 ms,5967 kB/s
115.23.240.181,12109,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,112 ms,5966 kB/s
112.161.221.228,10384,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,85 ms,5900 kB/s
121.128.236.164,13579,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,115 ms,5831 kB/s
118.45.137.245,50001,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,86 ms,5782 kB/s
59.8.196.21,20153,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,126 ms,5759 kB/s
222.97.1.10,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,85 ms,5730 kB/s
125.133.18.143,10137,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,113 ms,5676 kB/s
221.167.103.240,12036,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,82 ms,5629 kB/s
218.147.66.126,20019,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,93 ms,5577 kB/s
59.29.89.197,20114,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,79 ms,5562 kB/s
121.128.236.164,20142,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,95 ms,5542 kB/s
175.207.249.159,50001,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,129 ms,5475 kB/s
59.8.196.21,10002,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,78 ms,5468 kB/s
222.104.213.148,12408,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,92 ms,5405 kB/s
218.38.109.120,30027,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,65 ms,5332 kB/s
119.192.158.53,32779,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,111 ms,5327 kB/s
112.165.215.157,50000,TRUE,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,????,83 ms,5319 kB/s
